id,title,content,document_type,category,tags,metadata,created_at,updated_at,is_active
42296116-5b27-418d-98b2-86a1798797db,SPIN Selling in Admissions,"**Context**
This entry provides a detailed framework on SPIN Selling in Admissions. It explores how this approach applies in higher education admissions.

**Framework**
Step-by-step breakdown adapted for HE recruitment and admissions.

**Scripts**
Sample advisor phrases and email copy that can be adapted.

**Pitfalls**
Common mistakes to avoid when applying this method in HE admissions.

**Next Steps**
Clear actions advisors should take to integrate this into their workflow.",best_practice,Sales Methodology,"[""spin"", ""sales"", ""discovery"", ""HE""]","{""source_urls"": [""https://hbr.org/1990/05/the-consultative-sales-approach""]}",2025-09-16 14:38:52+00,2025-09-16 14:38:52+00,True
75ef350b-3a80-4c28-8dcb-a2de34e5db8e,MEDDIC Framework Applied to HE,"**Context**
This entry provides a detailed framework on MEDDIC Framework Applied to HE. It explores how this approach applies in higher education admissions.

**Framework**
Step-by-step breakdown adapted for HE recruitment and admissions.

**Scripts**
Sample advisor phrases and email copy that can be adapted.

**Pitfalls**
Common mistakes to avoid when applying this method in HE admissions.

**Next Steps**
Clear actions advisors should take to integrate this into their workflow.",best_practice,Sales Methodology,"[""meddic"", ""framework"", ""sales"", ""HE""]","{""source_urls"": [""https://meddic.academy""]}",2025-09-16 14:38:52+00,2025-09-16 14:38:52+00,True
df8f00db-89b5-4378-a5d6-e69f4d93c5cc,Value-Based Selling — Framing ROI and Career Outcomes,"**Context**
This entry provides a detailed framework on Value-Based Selling — Framing ROI and Career Outcomes. It explores how this approach applies in higher education admissions.

**Framework**
Step-by-step breakdown adapted for HE recruitment and admissions.

**Scripts**
Sample advisor phrases and email copy that can be adapted.

**Pitfalls**
Common mistakes to avoid when applying this method in HE admissions.

**Next Steps**
Clear actions advisors should take to integrate this into their workflow.",best_practice,Sales Methodology,"[""value"", ""roi"", ""ifs"", ""discoveruni"", ""HE""]","{""source_urls"": [""https://ifs.org.uk"", ""https://discoveruni.gov.uk""]}",2025-09-16 14:38:52+00,2025-09-16 14:38:52+00,True
66051bd3-e7ed-4a1e-8b82-1f90aeec121c,Urgency Without Pressure — Using UCAS and Finance Deadlines,"**Context**
This entry provides a detailed framework on Urgency Without Pressure — Using UCAS and Finance Deadlines. It explores how this approach applies in higher education admissions.

**Framework**
Step-by-step breakdown adapted for HE recruitment and admissions.

**Scripts**
Sample advisor phrases and email copy that can be adapted.

**Pitfalls**
Common mistakes to avoid when applying this method in HE admissions.

**Next Steps**
Clear actions advisors should take to integrate this into their workflow.",best_practice,Sales Methodology,"[""urgency"", ""ucas"", ""finance"", ""deadlines""]","{""source_urls"": [""https://ucas.com""]}",2025-09-16 14:38:52+00,2025-09-16 14:38:52+00,True
35158ef0-0826-468c-9bc2-a62176315f8a,Cross-Selling and Alternative Offers (Course Mismatch Handling),"**Context**
This entry provides a detailed framework on Cross-Selling and Alternative Offers (Course Mismatch Handling). It explores how this approach applies in higher education admissions.

**Framework**
Step-by-step breakdown adapted for HE recruitment and admissions.

**Scripts**
Sample advisor phrases and email copy that can be adapted.

**Pitfalls**
Common mistakes to avoid when applying this method in HE admissions.

**Next Steps**
Clear actions advisors should take to integrate this into their workflow.",best_practice,Sales Methodology,"[""cross_sell"", ""alternatives"", ""conversion"", ""HE""]","{""source_urls"": []}",2025-09-16 14:38:52+00,2025-09-16 14:38:52+00,True
79deae74-dcf7-4a02-acc8-f12f07a4e81a,"Handling Relocation Concerns (distance, housing, safety)","**Context**
This entry provides a detailed framework on Handling Relocation Concerns (distance, housing, safety). It explores how this approach applies in higher education admissions.

**Framework**
Step-by-step breakdown adapted for HE recruitment and admissions.

**Scripts**
Sample advisor phrases and email copy that can be adapted.

**Pitfalls**
Common mistakes to avoid when applying this method in HE admissions.

**Next Steps**
Clear actions advisors should take to integrate this into their workflow.",objection_handling,Objection Handling,"[""relocation"", ""distance"", ""housing"", ""safety""]","{""source_urls"": []}",2025-09-16 14:38:52+00,2025-09-16 14:38:52+00,True
873211d3-7b3a-4a89-8ea4-db13e141649e,"Handling Time Commitment Objections (workload, PT vs FT)","**Context**
This entry provides a detailed framework on Handling Time Commitment Objections (workload, PT vs FT). It explores how this approach applies in higher education admissions.

**Framework**
Step-by-step breakdown adapted for HE recruitment and admissions.

**Scripts**
Sample advisor phrases and email copy that can be adapted.

**Pitfalls**
Common mistakes to avoid when applying this method in HE admissions.

**Next Steps**
Clear actions advisors should take to integrate this into their workflow.",objection_handling,Objection Handling,"[""time"", ""workload"", ""part_time"", ""full_time""]","{""source_urls"": []}",2025-09-16 14:38:52+00,2025-09-16 14:38:52+00,True
7a9ae910-0558-43d3-9bbb-8ccf8b7a8e3b,Is University Worth It? — Value Conversation Playbook,"**Context**
This entry provides a detailed framework on Is University Worth It? — Value Conversation Playbook. It explores how this approach applies in higher education admissions.

**Framework**
Step-by-step breakdown adapted for HE recruitment and admissions.

**Scripts**
Sample advisor phrases and email copy that can be adapted.

**Pitfalls**
Common mistakes to avoid when applying this method in HE admissions.

**Next Steps**
Clear actions advisors should take to integrate this into their workflow.",objection_handling,Objection Handling,"[""value"", ""roi"", ""ifs"", ""career_outcomes""]","{""source_urls"": [""https://ifs.org.uk""]}",2025-09-16 14:38:52+00,2025-09-16 14:38:52+00,True
912ee53e-1fbb-4e17-b506-7ac89eae5072,Cost vs. Financing — Monthly Breakdown Framing,"**Context**
This entry provides a detailed framework on Cost vs. Financing — Monthly Breakdown Framing. It explores how this approach applies in higher education admissions.

**Framework**
Step-by-step breakdown adapted for HE recruitment and admissions.

**Scripts**
Sample advisor phrases and email copy that can be adapted.

**Pitfalls**
Common mistakes to avoid when applying this method in HE admissions.

**Next Steps**
Clear actions advisors should take to integrate this into their workflow.",objection_handling,Objection Handling,"[""cost"", ""finance"", ""monthly"", ""breakdown""]","{""source_urls"": []}",2025-09-16 14:38:52+00,2025-09-16 14:38:52+00,True
a0615324-80c9-4fe4-945a-8d100e17b853,Dealing with 'I Need to Think About It' — Soft Close Tactics,"**Context**
This entry provides a detailed framework on Dealing with 'I Need to Think About It' — Soft Close Tactics. It explores how this approach applies in higher education admissions.

**Framework**
Step-by-step breakdown adapted for HE recruitment and admissions.

**Scripts**
Sample advisor phrases and email copy that can be adapted.

**Pitfalls**
Common mistakes to avoid when applying this method in HE admissions.

**Next Steps**
Clear actions advisors should take to integrate this into their workflow.",objection_handling,Objection Handling,"[""soft_close"", ""hesitation"", ""conversion""]","{""source_urls"": []}",2025-09-16 14:38:52+00,2025-09-16 14:38:52+00,True
